date,country_iso3,country,year,gdp_current_usd,exports_goods_services_usd,industry_value_added_usd,manufacturing_value_added_usd,labor_force_total,unemployment_pct,population_total
2021-12-31,RUS,Russian Federation,2021,1829186719575.1,548800273711.107,581425275224.936,240221026282.24,73799608,4.749,144746762
2021-12-31,UKR,Ukraine,2021,199765859570.935,81281413098.7658,46253216233.3113,20542516948.7758,20538715,9.834,44298640
2022-12-31,RUS,Russian Federation,2022,2292495097681.47,635241831700.755,738140367959.278,301433746706.862,73531906,3.867,144236933
2022-12-31,UKR,Ukraine,2022,161989520721.19,57417372455.43,29175659790.6976,12316995865.0439,,,41048766
2023-12-31,RUS,Russian Federation,2023,2046284838151.09,465937815839.194,630207052471.023,265156290849.678,73713863,3.076,143826130
2023-12-31,UKR,Ukraine,2023,181221517868.744,51286538169.6103,34589315938.8817,15064359718.8458,,,37732836
2024-12-31,RUS,Russian Federation,2024,2186462268813.08,477881194057.271,686301491370.365,290016124335.697,73475298,2.43,143669648
2024-12-31,UKR,Ukraine,2024,190833835445.1,56624210504.8448,36352808894.1239,16069128966.4848,,,37860221
2025-12-31,RUS,Russian Federation,2025,2561310169358.74,466237273304.333,760029034776.638,349767677482.14,72771294,2.133,143513328
2025-12-31,UKR,Ukraine,2025,214233312784.397,54272867488.1444,38284899410.1576,17821420946.9622,,,38980376
