date,country_iso3,country,year,period_type,observation_status,fires,burnt_area_ha,source_url
2012-12-31,RUS,Russia,2012,full_year,annual_estimate,39781,25227435,https://gwis.jrc.ec.europa.eu/
2012-12-31,UKR,Ukraine,2012,full_year,annual_estimate,2785,602364,https://gwis.jrc.ec.europa.eu/
2013-12-31,RUS,Russia,2013,full_year,annual_estimate,22013,10342642,https://gwis.jrc.ec.europa.eu/
2013-12-31,UKR,Ukraine,2013,full_year,annual_estimate,2352,497387,https://gwis.jrc.ec.europa.eu/
2014-12-31,RUS,Russia,2014,full_year,annual_estimate,43981,19727077,https://gwis.jrc.ec.europa.eu/
2014-12-31,UKR,Ukraine,2014,full_year,annual_estimate,9480,2219990,https://gwis.jrc.ec.europa.eu/
2015-12-31,RUS,Russia,2015,full_year,annual_estimate,31197,14158364,https://gwis.jrc.ec.europa.eu/
2015-12-31,UKR,Ukraine,2015,full_year,annual_estimate,8706,2073143,https://gwis.jrc.ec.europa.eu/
2016-12-31,RUS,Russia,2016,full_year,annual_estimate,24429,15387744,https://gwis.jrc.ec.europa.eu/
2016-12-31,UKR,Ukraine,2016,full_year,annual_estimate,4935,1111447,https://gwis.jrc.ec.europa.eu/
2017-12-31,RUS,Russia,2017,full_year,annual_estimate,26594,11419835,https://gwis.jrc.ec.europa.eu/
2017-12-31,UKR,Ukraine,2017,full_year,annual_estimate,6584,1604342,https://gwis.jrc.ec.europa.eu/
2018-12-31,RUS,Russia,2018,full_year,annual_estimate,27155,14277853,https://gwis.jrc.ec.europa.eu/
2018-12-31,UKR,Ukraine,2018,full_year,annual_estimate,3982,751188,https://gwis.jrc.ec.europa.eu/
2019-12-31,RUS,Russia,2019,full_year,annual_estimate,29683,16182644,https://gwis.jrc.ec.europa.eu/
2019-12-31,UKR,Ukraine,2019,full_year,annual_estimate,4690,1070983,https://gwis.jrc.ec.europa.eu/
2020-12-31,RUS,Russia,2020,full_year,annual_estimate,31571,16405115,https://gwis.jrc.ec.europa.eu/
2020-12-31,UKR,Ukraine,2020,full_year,annual_estimate,4245,1103375,https://gwis.jrc.ec.europa.eu/
2021-12-31,RUS,Russia,2021,full_year,annual_estimate,23996,17344449,https://gwis.jrc.ec.europa.eu/
2021-12-31,UKR,Ukraine,2021,full_year,annual_estimate,1631,342302,https://gwis.jrc.ec.europa.eu/
2022-12-31,RUS,Russia,2022,full_year,annual_estimate,22525,10548579,https://gwis.jrc.ec.europa.eu/
2022-12-31,UKR,Ukraine,2022,full_year,annual_estimate,2948,706902,https://gwis.jrc.ec.europa.eu/
2023-12-31,RUS,Russia,2023,full_year,annual_estimate,17822,10325937,https://gwis.jrc.ec.europa.eu/
2023-12-31,UKR,Ukraine,2023,full_year,annual_estimate,1822,443762,https://gwis.jrc.ec.europa.eu/
2024-12-31,RUS,Russia,2024,full_year,annual_estimate,14687,12329566,https://gwis.jrc.ec.europa.eu/
2024-12-31,UKR,Ukraine,2024,full_year,annual_estimate,2675,811107,https://gwis.jrc.ec.europa.eu/
2025-12-31,RUS,Russia,2025,full_year,annual_estimate,11511,6981663,https://gwis.jrc.ec.europa.eu/
2025-12-31,UKR,Ukraine,2025,full_year,annual_estimate,1722,448378,https://gwis.jrc.ec.europa.eu/
2026-09-02,RUS,Russia,2026,year_to_date,year_to_date_estimate,11035,7346059,https://gwis.jrc.ec.europa.eu/
2026-09-02,UKR,Ukraine,2026,year_to_date,year_to_date_estimate,1824,438296,https://gwis.jrc.ec.europa.eu/
