date,country_iso3,country,year,month,period_type,observation_status,fires,burnt_area_ha,product,source_url
2012-12-31,RUS,Russia,2012,,year,historical_annual,18796,14625854.609999973,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-12-31,UKR,Ukraine,2012,,year,historical_annual,2177,663338.2480000001,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-12-31,RUS,Russia,2013,,year,historical_annual,9661,6779414.66499999,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2013-12-31,UKR,Ukraine,2013,,year,historical_annual,2678,710412.898,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-12-31,RUS,Russia,2014,,year,historical_annual,20984,19278881.88199998,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2014-12-31,UKR,Ukraine,2014,,year,historical_annual,9821,2854123.2149999985,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2015-12-31,RUS,Russia,2015,,year,historical_annual,14493,9468121.873999985,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2015-12-31,UKR,Ukraine,2015,,year,historical_annual,9234,2643500.122,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2016-12-31,RUS,Russia,2016,,year,historical_annual,11664,9281025.385999985,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2016-12-31,UKR,Ukraine,2016,,year,historical_annual,5662,1528584.429,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2017-12-31,RUS,Russia,2017,,year,historical_annual,11609,8092589.103999995,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2017-12-31,UKR,Ukraine,2017,,year,historical_annual,7434,2452904.6789999995,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2018-12-31,RUS,Russia,2018,,year,historical_annual,13930,11946528.009999996,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
