date,country_iso3,country,year,month,period_type,observation_status,fires,burnt_area_ha,product,source_url
2012-01-31,RUS,Russia,2012,1,month,historical_monthly,4,1073.2930000000001,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-01-31,UKR,Ukraine,2012,1,month,historical_monthly,0,0,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-02-29,RUS,Russia,2012,2,month,historical_monthly,55,31490.428000000007,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-02-29,UKR,Ukraine,2012,2,month,historical_monthly,79,28399.343,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-03-31,RUS,Russia,2012,3,month,historical_monthly,1755,1280589.2560000003,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-03-31,UKR,Ukraine,2012,3,month,historical_monthly,617,250893.05199999997,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-04-30,RUS,Russia,2012,4,month,historical_monthly,4103,2819112.358,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-04-30,UKR,Ukraine,2012,4,month,historical_monthly,140,34967.899999999994,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-05-31,RUS,Russia,2012,5,month,historical_monthly,1642,1094780.7059999998,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=RUS&year=2024&yearFrom=2012&yearTo=2024&env=PROD
2012-05-31,UKR,Ukraine,2012,5,month,historical_monthly,8,2447.11,MODIS MCD64A1 / GlobFire,https://cprof.effis.emergency.copernicus.eu/api/v3/banf?level=ADM0&value=UKR&year=2024&yearFrom=2012&yearTo=2024&env=PROD
