date,country_iso3,country,year,week,observation_status,fires,burnt_area_ha,historical_average_fires,historical_average_burnt_area_ha,source_url
2026-01-07,RUS,Russia,2026,1,weekly_estimate,22,2261,30.93,5216.29,https://gwis.jrc.ec.europa.eu/
2026-01-07,UKR,Ukraine,2026,1,weekly_estimate,2,843,0.43,49.29,https://gwis.jrc.ec.europa.eu/
2026-01-14,RUS,Russia,2026,2,weekly_estimate,45,5199,31.93,4923.93,https://gwis.jrc.ec.europa.eu/
2026-01-14,UKR,Ukraine,2026,2,weekly_estimate,0,0,1.29,179.07,https://gwis.jrc.ec.europa.eu/
2026-01-21,RUS,Russia,2026,3,weekly_estimate,36,4326,29.71,4554.07,https://gwis.jrc.ec.europa.eu/
2026-01-21,UKR,Ukraine,2026,3,weekly_estimate,0,0,0.86,126.79,https://gwis.jrc.ec.europa.eu/
2026-01-28,RUS,Russia,2026,4,weekly_estimate,31,2919,38,6022.64,https://gwis.jrc.ec.europa.eu/
2026-01-28,UKR,Ukraine,2026,4,weekly_estimate,0,0,0.79,168.71,https://gwis.jrc.ec.europa.eu/
2026-02-04,RUS,Russia,2026,5,weekly_estimate,23,2466,35.21,6515.79,https://gwis.jrc.ec.europa.eu/
2026-02-04,UKR,Ukraine,2026,5,weekly_estimate,0,0,0.57,70.5,https://gwis.jrc.ec.europa.eu/
2026-02-11,RUS,Russia,2026,6,weekly_estimate,37,4157,51.57,10070.64,https://gwis.jrc.ec.europa.eu/
2026-02-11,UKR,Ukraine,2026,6,weekly_estimate,0,0,2.86,526.29,https://gwis.jrc.ec.europa.eu/
2026-02-18,RUS,Russia,2026,7,weekly_estimate,50,7672,77.57,20039.57,https://gwis.jrc.ec.europa.eu/
2026-02-18,UKR,Ukraine,2026,7,weekly_estimate,0,0,8.14,1352.07,https://gwis.jrc.ec.europa.eu/
2026-02-25,RUS,Russia,2026,8,weekly_estimate,66,12908,115.86,39909.57,https://gwis.jrc.ec.europa.eu/
2026-02-25,UKR,Ukraine,2026,8,weekly_estimate,0,0,14.93,2621.14,https://gwis.jrc.ec.europa.eu/
2026-03-04,RUS,Russia,2026,9,weekly_estimate,61,7833,166.29,47358.86,https://gwis.jrc.ec.europa.eu/
2026-03-04,UKR,Ukraine,2026,9,weekly_estimate,0,0,28.64,5445.57,https://gwis.jrc.ec.europa.eu/
2026-03-11,RUS,Russia,2026,10,weekly_estimate,78,22673,372.5,102117.93,https://gwis.jrc.ec.europa.eu/
2026-03-11,UKR,Ukraine,2026,10,weekly_estimate,23,4566,188.57,35421.07,https://gwis.jrc.ec.europa.eu/
2026-03-18,RUS,Russia,2026,11,weekly_estimate,237,54894,412.29,108813.36,https://gwis.jrc.ec.europa.eu/
2026-03-18,UKR,Ukraine,2026,11,weekly_estimate,45,7941,149.71,28413.71,https://gwis.jrc.ec.europa.eu/
