date,personnel,boats,submarines,tanks,armoured_personnel_vehicles,artillery_systems,mlrs,vehicles,special_equipment,air_defence_systems,aircraft,helicopters,uav,unmanned_ground_vehicles,cruise_missiles
2022-02-24,800,0,0,30,130,0,0,0,0,0,7,6,0,0,0
2022-02-25,3000,0,0,100,540,0,0,0,0,0,16,18,0,0,0
2022-02-26,4500,2,0,150,706,50,4,0,0,1,27,26,2,0,0
2022-02-27,5300,2,0,191,816,74,21,291,0,1,29,29,3,0,0
2022-02-28,5710,2,0,198,846,77,24,305,0,7,29,29,3,0,0
2022-03-01,5840,2,0,211,862,85,40,415,0,9,30,31,3,0,0
2022-03-02,9000,2,0,217,900,90,42,434,0,11,30,31,3,0,0
2022-03-03,9166,2,0,251,939,105,50,464,0,18,37,37,3,0,0
2022-03-04,10000,2,0,269,945,105,50,469,0,19,39,40,3,0,0
2022-03-05,11000,2,0,285,985,109,50,507,0,21,44,48,4,0,0
2022-03-06,11000,3,0,290,999,117,50,514,0,23,46,68,7,0,0
2022-03-07,12000,3,0,303,1036,120,56,534,0,27,48,80,7,0,0
2022-03-08,12000,3,0,317,1070,120,56,542,0,28,49,81,7,0,0
2022-03-09,12000,3,0,335,1105,123,56,586,0,29,49,81,7,0,0
2022-03-10,12000,3,0,353,1165,125,58,618,0,31,57,83,7,0,0
2022-03-11,12000,3,0,362,1205,135,62,645,0,33,58,83,7,0,0
2022-03-12,12000,3,0,374,1226,140,62,660,0,34,74,86,7,0,0
2022-03-13,12000,3,0,389,1249,150,64,677,0,34,77,90,8,0,0
2022-03-14,13500,3,0,404,1279,150,64,700,0,36,81,95,9,0,0
2022-03-15,13800,3,0,430,1375,190,70,879,10,43,84,108,11,0,0
2022-03-16,14000,3,0,444,1435,201,72,924,10,43,86,108,11,0,0
2022-03-17,14200,3,0,450,1448,205,72,939,11,43,93,112,12,0,0
2022-03-18,14400,3,0,466,1470,213,72,974,11,44,95,115,17,0,0
2022-03-19,14700,3,0,476,1487,230,74,1007,12,44,96,118,21,0,0
2022-03-20,15000,3,0,498,1535,240,80,1029,13,45,97,121,24,0,0
2022-03-21,15300,3,0,509,1556,252,80,1070,15,45,99,123,35,0,0
2022-03-22,15600,4,0,517,1578,267,80,1078,15,47,101,124,42,0,0
