date,personnel,boats,submarines,tanks,armoured_personnel_vehicles,artillery_systems,mlrs,vehicles,special_equipment,air_defence_systems,aircraft,helicopters,uav,unmanned_ground_vehicles,cruise_missiles
2022-02-24,800,0,0,30,130,0,0,0,0,0,7,6,0,0,0
2022-02-25,2200,0,0,70,410,0,0,0,0,0,9,12,0,0,0
2022-02-26,1500,2,0,50,166,50,4,0,0,1,11,8,2,0,0
2022-02-27,800,0,0,41,110,24,17,291,0,0,2,3,1,0,0
2022-02-28,410,0,0,7,30,3,3,14,0,6,0,0,0,0,0
2022-03-01,130,0,0,13,16,8,16,110,0,2,1,2,0,0,0
2022-03-02,3160,0,0,6,38,5,2,19,0,2,0,0,0,0,0
2022-03-03,166,0,0,34,39,15,8,30,0,7,7,6,0,0,0
2022-03-04,834,0,0,18,6,0,0,5,0,1,2,3,0,0,0
2022-03-05,1000,0,0,16,40,4,0,38,0,2,5,8,1,0,0
2022-03-06,0,1,0,5,14,8,0,7,0,2,2,20,3,0,0
2022-03-07,1000,0,0,13,37,3,6,20,0,4,2,12,0,0,0
2022-03-08,0,0,0,14,34,0,0,8,0,1,1,1,0,0,0
2022-03-09,0,0,0,18,35,3,0,44,0,1,0,0,0,0,0
2022-03-10,0,0,0,18,60,2,2,32,0,2,8,2,0,0,0
2022-03-11,0,0,0,9,40,10,4,27,0,2,1,0,0,0,0
2022-03-12,0,0,0,12,21,5,0,15,0,1,16,3,0,0,0
2022-03-13,0,0,0,15,23,10,2,17,0,0,3,4,1,0,0
2022-03-14,1500,0,0,15,30,0,0,23,0,2,4,5,1,0,0
2022-03-15,300,0,0,26,96,40,6,179,10,7,3,13,2,0,0
2022-03-16,200,0,0,14,60,11,2,45,0,0,2,0,0,0,0
2022-03-17,200,0,0,6,13,4,0,15,1,0,7,4,1,0,0
2022-03-18,200,0,0,16,22,8,0,35,0,1,2,3,5,0,0
2022-03-19,300,0,0,10,17,17,2,33,1,0,1,3,4,0,0
2022-03-20,300,0,0,22,48,10,6,22,1,1,1,3,3,0,0
2022-03-21,300,0,0,11,21,12,0,41,2,0,2,2,11,0,0
2022-03-22,300,1,0,8,22,15,0,8,0,2,2,1,7,0,0
2022-03-23,200,0,0,13,19,13,2,27,1,0,7,0,8,0,0
2022-03-24,300,1,0,31,28,11,8,56,2,2,7,1,3,0,0
2022-03-25,300,2,0,14,15,2,1,43,1,2,2,2,0,0,0
2022-03-26,200,0,0,7,24,1,2,13,2,1,4,0,3,0,0
2022-03-27,400,0,0,4,30,8,2,6,0,2,2,0,10,0,0
2022-03-28,200,0,0,11,16,1,1,28,0,0,4,2,5,0,0
2022-03-29,100,0,0,8,13,2,0,8,0,0,4,2,10,0,0
2022-03-30,200,0,0,9,12,6,0,17,1,0,4,0,2,0,0
2022-03-31,200,0,0,11,16,5,0,20,2,0,8,0,2,0,0
2022-04-01,100,0,0,6,25,1,4,16,0,0,0,3,2,0,0
2022-04-02,200,0,0,13,54,8,5,13,0,0,0,0,2,0,0
2022-04-03,300,0,0,3,14,5,2,24,1,0,4,0,3,0,0
2022-04-04,200,0,0,29,14,2,0,49,0,1,3,0,2,0,0
2022-04-05,100,0,0,8,3,0,0,2,0,0,0,1,2,0,0
2022-04-06,300,0,0,14,30,0,1,34,0,0,0,0,15,0,0
2022-04-07,100,0,0,2,0,1,0,3,0,0,0,0,1,0,0
2022-04-08,100,0,0,5,4,2,0,2,0,0,1,1,0,0,0
2022-04-09,200,0,0,17,16,7,0,21,0,0,1,1,0,0,0
2022-04-10,200,0,0,3,12,5,3,3,0,0,2,0,7,0,0
2022-04-11,100,0,0,7,23,2,0,19,0,8,3,3,5,0,0
2022-04-12,200,0,0,7,18,9,4,23,0,1,1,3,8,0,0
2022-04-13,100,0,0,14,4,8,7,8,0,0,2,1,2,0,0
2022-04-14,100,1,0,3,8,0,0,6,0,2,3,0,1,0,0
2022-04-15,100,0,0,6,6,5,3,15,1,0,0,1,3,0,0
2022-04-16,200,0,0,11,20,5,2,13,1,0,2,1,10,0,0
2022-04-17,300,0,0,17,39,5,3,16,0,1,2,1,7,0,0
2022-04-18,200,0,0,12,22,5,2,8,0,0,2,3,3,0,0
2022-04-19,100,0,0,13,24,5,4,9,0,0,2,0,7,0,0
2022-04-20,100,0,0,14,31,2,0,4,0,0,1,1,1,0,0
2022-04-21,200,0,0,9,44,4,2,15,0,2,4,2,6,0,0
2022-04-22,400,0,0,16,43,6,5,20,0,0,1,1,10,0,0
2022-04-23,200,0,0,19,33,5,4,14,1,0,2,0,9,0,0
2022-04-24,100,0,0,11,20,3,2,9,0,0,2,0,10,0,0
2022-04-25,200,0,0,34,50,5,0,77,3,0,3,0,4,0,0
2022-04-26,300,0,0,21,34,5,0,23,0,2,1,1,2,0,0
2022-04-27,400,0,0,31,47,10,2,22,0,1,2,0,8,0,0
2022-04-28,200,0,0,16,29,4,0,7,0,1,2,0,14,0,0
2022-04-29,200,0,0,22,27,1,0,6,1,4,1,0,3,0,0
2022-04-30,300,0,0,18,26,15,0,19,0,3,2,0,13,0,84
2022-05-01,300,0,0,22,48,8,1,28,6,0,2,0,26,0,0
2022-05-02,400,2,0,14,48,16,10,19,0,0,0,0,20,0,0
2022-05-03,300,0,0,15,43,16,1,24,0,1,0,0,12,0,3
2022-05-04,200,0,0,15,41,8,6,40,0,2,2,0,9,0,2
2022-05-05,200,1,0,18,35,3,2,19,0,0,3,0,12,0,1
2022-05-06,200,0,0,12,27,7,1,8,0,1,0,0,17,0,0
2022-05-07,400,1,0,8,28,0,7,27,1,2,0,1,19,0,2
2022-05-08,150,0,0,15,23,4,6,9,2,1,0,2,17,0,2
2022-05-09,350,0,0,25,44,6,0,10,0,0,0,0,3,0,0
2022-05-10,350,0,0,17,48,9,0,17,0,0,0,2,10,0,0
2022-05-11,300,1,0,8,17,6,6,22,0,0,0,1,8,0,0
2022-05-12,250,0,0,10,27,8,2,23,0,1,1,1,7,0,1
2022-05-13,300,0,0,13,34,9,2,17,1,0,0,1,6,0,0
2022-05-14,200,0,0,2,24,4,0,28,0,1,0,1,5,0,0
2022-05-15,300,0,0,8,16,22,0,14,0,0,0,1,11,0,2
2022-05-16,200,0,0,7,35,1,3,8,1,1,1,2,9,0,0
2022-05-17,400,0,0,16,34,8,1,28,0,1,1,0,5,0,5
2022-05-18,200,0,0,3,20,9,0,20,0,2,1,0,14,0,1
2022-05-19,200,0,0,9,27,1,1,5,0,0,1,1,5,0,0
2022-05-20,150,0,0,15,26,0,1,16,0,0,0,1,2,0,1
2022-05-21,200,0,0,7,25,3,0,16,0,0,0,1,8,0,3
2022-05-22,150,0,0,8,25,5,0,12,0,0,0,0,6,0,3
2022-05-23,150,0,0,9,28,2,0,7,0,0,1,0,4,0,2
2022-05-24,100,0,0,3,19,0,0,5,1,0,1,0,11,0,0
2022-05-25,150,0,0,10,22,11,0,7,3,0,0,0,11,0,2
2022-05-26,150,0,0,7,11,6,0,1,1,0,0,0,1,0,1
2022-05-27,250,0,0,8,12,5,2,0,0,0,1,4,0,0,1
2022-05-28,150,0,0,8,12,3,0,14,0,0,0,0,1,0,0
2022-05-29,200,0,0,11,12,12,2,18,0,0,0,0,3,0,2
2022-05-30,150,0,0,9,20,6,2,17,0,0,1,0,8,0,2
2022-05-31,200,0,0,3,41,10,0,15,1,1,0,1,4,0,0
2022-06-01,150,0,0,2,11,2,0,35,2,1,2,0,2,0,0
2022-06-02,100,0,0,4,12,14,0,4,0,0,0,0,14,0,1
2022-06-03,100,0,0,9,13,5,0,8,1,0,0,0,5,0,1
2022-06-04,100,0,0,5,13,6,0,23,1,0,0,0,8,0,0
2022-06-05,100,0,0,5,8,4,0,35,0,1,1,1,3,0,3
2022-06-06,110,0,0,4,16,4,0,10,0,0,1,1,2,0,0
2022-06-07,140,0,0,3,13,9,6,1,0,0,0,1,6,0,0
2022-06-08,200,0,0,5,9,8,0,15,0,0,0,0,3,0,0
2022-06-09,200,0,0,11,12,1,9,17,1,1,0,0,10,0,0
2022-06-10,150,0,0,10,16,0,0,10,0,0,0,0,7,0,0
2022-06-11,100,0,0,11,18,3,4,7,0,0,0,0,3,0,0
2022-06-12,150,0,0,2,8,3,0,5,0,0,1,0,3,0,0
2022-06-13,200,0,0,2,11,3,3,13,0,0,0,1,3,0,0
2022-06-14,250,0,0,6,25,1,1,12,1,0,0,0,3,0,4
2022-06-15,200,0,0,9,17,7,3,9,0,0,0,0,0,0,0
2022-06-16,200,0,0,7,18,5,0,2,0,0,2,1,2,0,0
2022-06-17,200,1,0,9,10,5,0,17,0,1,1,0,1,0,0
2022-06-18,250,0,0,3,4,6,2,10,0,0,0,1,4,0,1
2022-06-19,200,0,0,9,11,4,3,4,0,0,0,0,3,0,0
2022-06-20,300,0,0,19,18,3,1,10,4,0,0,0,10,0,7
2022-06-21,130,0,0,0,8,0,0,6,1,1,0,1,3,0,0
2022-06-22,200,0,0,8,18,4,1,5,0,0,0,1,6,0,0
2022-06-23,100,0,0,3,5,3,1,5,0,0,0,0,2,0,0
2022-06-24,170,0,0,4,8,5,0,7,0,0,1,1,4,0,0
2022-06-25,150,0,0,21,14,0,2,4,0,0,0,0,4,0,2
2022-06-26,150,0,0,20,28,7,0,11,0,2,0,0,6,0,0
2022-06-27,250,0,0,15,17,7,0,14,1,1,0,1,0,0,0
2022-06-28,200,0,0,5,16,3,3,9,0,1,0,0,4,0,3
2022-06-29,150,0,0,1,6,9,0,4,0,1,0,0,1,0,1
2022-06-30,150,1,0,4,10,6,0,8,0,1,0,1,4,0,0
2022-07-01,120,0,0,5,1,4,0,4,0,0,0,0,8,0,1
2022-07-02,100,0,0,2,7,1,0,4,3,0,0,1,1,0,0
2022-07-03,230,0,0,5,10,3,0,11,1,0,0,0,4,0,0
2022-07-04,150,0,0,5,18,2,1,5,0,0,0,0,2,0,0
2022-07-05,150,0,0,6,17,6,0,14,0,2,0,0,4,0,9
2022-07-06,150,0,0,2,8,3,0,17,1,0,0,0,3,0,2
2022-07-07,250,0,0,35,14,13,0,20,0,0,0,0,2,0,0
2022-07-08,300,0,0,1,4,4,0,2,0,1,0,0,5,0,0
2022-07-09,100,0,0,3,8,2,0,7,0,0,0,1,2,0,0
2022-07-10,100,0,0,4,5,4,0,2,0,1,0,0,0,0,0
2022-07-11,70,0,0,4,1,0,0,3,0,0,0,0,0,0,0
2022-07-12,100,0,0,0,3,1,0,5,1,0,0,0,2,0,0
2022-07-13,300,0,0,18,20,1,0,0,0,0,2,0,3,0,0
2022-07-14,130,0,0,5,14,2,0,27,0,0,1,0,0,0,0
2022-07-15,140,0,0,5,8,4,0,4,1,0,0,0,6,0,7
2022-07-16,160,0,0,7,5,0,1,11,0,1,0,0,1,0,4
2022-07-17,150,0,0,3,7,3,0,7,2,3,0,0,2,0,0
2022-07-18,100,0,0,4,6,2,0,14,0,0,0,0,3,0,1
2022-07-19,200,0,0,9,13,5,2,8,0,0,1,0,10,0,0
2022-07-20,100,0,0,4,7,3,1,6,2,0,0,0,7,0,0
2022-07-21,150,0,0,0,8,4,0,22,0,0,0,0,3,0,0
2022-07-22,240,0,0,4,9,1,2,17,0,0,0,0,1,0,0
2022-07-23,280,0,0,14,13,5,2,3,1,0,0,0,0,0,3
2022-07-24,180,0,0,8,8,7,2,9,0,3,1,0,5,0,4
2022-07-25,170,0,0,7,9,4,1,3,2,1,0,1,3,0,0
