date,metric,latest_daily,last_7_days,last_30_days,cumulative,daily_average,first_date,observation_days
2026-09-18,personnel,1520,11050,43790,1516430,909.13,2022-02-24,1668
2026-09-18,boats,0,0,0,35,0.02,2022-02-24,1668
2026-09-18,submarines,0,0,0,2,0,2022-02-24,1668
2026-09-18,tanks,1,10,69,12352,7.41,2022-02-24,1668
2026-09-18,armoured_personnel_vehicles,5,35,192,25357,15.2,2022-02-24,1668
2026-09-18,artillery_systems,73,410,1750,50011,29.98,2022-02-24,1668
2026-09-18,mlrs,1,28,93,2143,1.28,2022-02-24,1668
2026-09-18,vehicles,480,3073,14104,150922,90.48,2022-02-24,1668
2026-09-18,special_equipment,2,27,152,4703,2.82,2022-02-24,1668
2026-09-18,air_defence_systems,11,24,80,1657,0.99,2022-02-24,1668
2026-09-18,aircraft,0,0,3,442,0.26,2022-02-24,1668
2026-09-18,helicopters,0,0,2,356,0.21,2022-02-24,1668
2026-09-18,uav,1816,11957,53263,524132,314.23,2022-02-24,1668
2026-09-18,unmanned_ground_vehicles,16,86,351,1378,0.83,2022-02-24,1668
2026-09-18,cruise_missiles,0,8,101,5111,3.06,2022-02-24,1668
