date,scenario,category,reported_count,unit_cost_usd,modeled_cost_usd
2026-09-22,conservative,personnel,1522440,15000,22836600000
2026-09-22,conservative,boats,35,1200000,42000000
2026-09-22,conservative,tanks,12367,3000000,37101000000
2026-09-22,conservative,armoured_personnel_vehicles,25387,600000,15232200000
2026-09-22,conservative,artillery_systems,50216,1200000,60259200000
2026-09-22,conservative,mlrs,2152,2500000,5380000000
2026-09-22,conservative,vehicles,152553,90000,13729770000
2026-09-22,conservative,special_equipment,4737,250000,1184250000
2026-09-22,conservative,air_defence_systems,1665,12000000,19980000000
2026-09-22,conservative,aircraft,442,18000000,7956000000
2026-09-22,conservative,helicopters,356,12000000,4272000000
2026-09-22,conservative,uav,530560,30000,15916800000
2026-09-22,conservative,cruise_missiles,5111,750000,3833250000
2026-09-22,baseline,personnel,1522440,30000,45673200000
2026-09-22,baseline,boats,35,4000000,140000000
2026-09-22,baseline,tanks,12367,6000000,74202000000
2026-09-22,baseline,armoured_personnel_vehicles,25387,1500000,38080500000
2026-09-22,baseline,artillery_systems,50216,3000000,150648000000
2026-09-22,baseline,mlrs,2152,5000000,10760000000
2026-09-22,baseline,vehicles,152553,150000,22882950000
2026-09-22,baseline,special_equipment,4737,750000,3552750000
2026-09-22,baseline,air_defence_systems,1665,25000000,41625000000
2026-09-22,baseline,aircraft,442,35000000,15470000000
2026-09-22,baseline,helicopters,356,22000000,7832000000
2026-09-22,baseline,uav,530560,100000,53056000000
2026-09-22,baseline,cruise_missiles,5111,1500000,7666500000
2026-09-22,high,personnel,1522440,50000,76122000000
2026-09-22,high,boats,35,15000000,525000000
2026-09-22,high,tanks,12367,10000000,123670000000
2026-09-22,high,armoured_personnel_vehicles,25387,3000000,76161000000
2026-09-22,high,artillery_systems,50216,7000000,351512000000
2026-09-22,high,mlrs,2152,12000000,25824000000
2026-09-22,high,vehicles,152553,350000,53393550000
2026-09-22,high,special_equipment,4737,2000000,9474000000
2026-09-22,high,air_defence_systems,1665,70000000,116550000000
2026-09-22,high,aircraft,442,80000000,35360000000
2026-09-22,high,helicopters,356,45000000,16020000000
2026-09-22,high,uav,530560,350000,185696000000
2026-09-22,high,cruise_missiles,5111,3000000,15333000000
