year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2012,RUS,corruption,28,score,reference_year,published,,133,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2012,UKR,corruption,26,score,reference_year,published,,144,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2013,RUS,corruption,28,score,reference_year,published,,127,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2013,UKR,corruption,25,score,reference_year,published,,144,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2014,RUS,corruption,27,score,reference_year,published,,136,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2014,UKR,corruption,26,score,reference_year,published,,142,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2015,RUS,corruption,29,score,reference_year,published,,119,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2015,UKR,corruption,27,score,reference_year,published,,130,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2016,RUS,corruption,29,score,reference_year,published,,131,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2016,UKR,corruption,29,score,reference_year,published,,131,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2017,RUS,corruption,29,score,reference_year,published,,135,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2017,UKR,corruption,30,score,reference_year,published,,130,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2018,RUS,corruption,28,score,reference_year,published,,138,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2018,UKR,corruption,32,score,reference_year,published,,120,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2019,RUS,corruption,28,score,reference_year,published,,137,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2019,UKR,corruption,30,score,reference_year,published,,126,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2020,RUS,corruption,30,score,reference_year,published,,129,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2020,UKR,corruption,33,score,reference_year,published,,117,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2021,RUS,corruption,29,score,reference_year,published,,136,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2021,UKR,corruption,32,score,reference_year,published,,122,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2022,RUS,corruption,28,score,reference_year,published,,137,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2022,UKR,corruption,33,score,reference_year,published,,116,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2023,RUS,corruption,26,score,reference_year,published,,141,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2023,UKR,corruption,36,score,reference_year,published,,104,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2024,RUS,corruption,22,score,reference_year,published,,154,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2024,UKR,corruption,35,score,reference_year,published,,105,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2025,RUS,corruption,22,score,reference_year,published,,157,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
2025,UKR,corruption,36,score,reference_year,published,,104,,,,,https://images.transparencycdn.org/images/CPI2025_Results.xlsx,,,2026-07-01T08:45:01.353Z
