year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2010,RUS,gini,39.5,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2010,UKR,gini,24.8,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2011,RUS,gini,39.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2011,UKR,gini,24.6,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2012,RUS,gini,40.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2012,UKR,gini,24.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2013,RUS,gini,40.9,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2013,UKR,gini,24.6,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2014,RUS,gini,36.9,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2014,UKR,gini,24,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2015,RUS,gini,36.5,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2015,UKR,gini,25.5,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2016,RUS,gini,36.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2016,UKR,gini,25,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2017,RUS,gini,35.5,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2017,UKR,gini,26,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2018,RUS,gini,35.3,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2018,UKR,gini,26.1,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2019,RUS,gini,35.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2019,UKR,gini,26.6,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2020,RUS,gini,33.7,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2020,UKR,gini,25.6,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2021,RUS,gini,35.1,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2021,UKR,gini,,score,reference_year,missing,not_available_in_input,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2022,RUS,gini,33.9,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2022,UKR,gini,,score,reference_year,missing,not_available_in_input,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2023,RUS,gini,33,score,reference_year,published,,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
2023,UKR,gini,,score,reference_year,missing,not_available_in_input,,,,,,https://data.worldbank.org/indicator/SI.POV.GINI,,,2026-09-04T19:55:07.209Z
