year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2000,RUS,life-expectancy,65.4836585365854,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2000,UKR,life-expectancy,67.786,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2001,RUS,life-expectancy,65.3834146341463,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2001,UKR,life-expectancy,67.675,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2002,RUS,life-expectancy,65.1287804878049,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2002,UKR,life-expectancy,67.699,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2003,RUS,life-expectancy,65.0275609756098,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2003,UKR,life-expectancy,67.638,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2004,RUS,life-expectancy,65.4709756097561,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2004,UKR,life-expectancy,67.472,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2005,RUS,life-expectancy,65.529756097561,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2005,UKR,life-expectancy,67.517,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2006,RUS,life-expectancy,66.7275609756098,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2006,UKR,life-expectancy,67.49,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
2007,RUS,life-expectancy,67.5868292682927,years,reference_year,estimate,,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/SP.DYN.LE00.IN;SP.DYN.CBRT.IN;SP.DYN.CDRT.IN;SL.UEM.1524.ZS?source=2&format=json&date=2000%3A2026&per_page=1000,2026-07-13,18f82e41ccb41433016c9fca93f6d5afea31cd967e0d44ef54bafd0b9b2c2c83,2026-09-19T19:46:19.828Z
