year,country_iso3,indicator,value,unit,time_basis,observation_status,missing_reason,rank,lower_90,upper_90,birth_rate,death_rate,source_url,source_updated_at,source_response_sha256,input_generated_at
2000,RUS,rule-of-law,39.1162266,score,reference_year,estimate,,,34.0056769,44.2267763,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2000,UKR,rule-of-law,38.0236051,score,reference_year,estimate,,,32.635347,43.4118632,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2001,RUS,rule-of-law,,score,reference_year,missing,not_available_in_input,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2001,UKR,rule-of-law,,score,reference_year,missing,not_available_in_input,,,,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2002,RUS,rule-of-law,40.8422708,score,reference_year,estimate,,,35.923173,45.7613686,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2002,UKR,rule-of-law,41.9878324,score,reference_year,estimate,,,36.822582,47.1530829,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2003,RUS,rule-of-law,40.3293729,score,reference_year,estimate,,,35.4102751,45.2484708,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2003,UKR,rule-of-law,42.6760695,score,reference_year,estimate,,,37.5108191,47.84132,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2004,RUS,rule-of-law,43.3394836,score,reference_year,estimate,,,38.4203858,48.2585815,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
2004,UKR,rule-of-law,43.7755581,score,reference_year,estimate,,,38.6103076,48.9408086,,,https://api.worldbank.org/v2/country/RUS;UKR/indicator/GOV_WGI_RL.SC;GOV_WGI_RL.SC_LB;GOV_WGI_RL.SC_UB?source=3&format=json&date=2000%3A2026&per_page=1000,2026-03-18,6ff5dbfba05f0f18a4f45e8ff5112f9a747f47176d635537ad5b8d45ed3095c2,2026-09-19T19:46:19.828Z
