date,occupied_km2,occupied_share_pct,net_change_km2
2021-12-31,43744,7.248,0
2022-02-23,43744,7.248,0
2022-02-24,57309.17,9.495,13565.17
2022-02-25,73610.96,12.196,16301.79
2022-02-26,81813.54,13.555,8202.58
2022-02-27,85814.94,14.218,4001.4
2022-02-28,85814.94,14.218,0
2022-03-01,87129.47,14.436,1314.53
2022-03-02,87785.33,14.545,655.86
2022-03-03,92815.44,15.378,5030.11
2022-03-04,92801.5,15.376,-13.94
2022-03-05,97302.31,16.122,4500.81
2022-03-06,97302.31,16.122,0
2022-03-07,97302.31,16.122,0
2022-03-08,97302.31,16.122,0
2022-03-09,103914.13,17.217,6611.82
2022-03-10,104981.44,17.394,1067.31
2022-03-11,105264.21,17.441,282.77
2022-03-12,105264.21,17.441,0
2022-03-13,105264.21,17.441,0
2022-03-14,105264.21,17.441,0
2022-03-15,114015.09,18.891,8750.88
2022-03-16,112494.83,18.639,-1520.26
2022-03-17,112494.83,18.639,0
2022-03-18,112494.83,18.639,0
2022-03-19,112494.83,18.639,0
2022-03-20,112494.83,18.639,0
2022-03-21,112494.83,18.639,0
2022-03-22,112494.83,18.639,0
2022-03-23,143077.37,23.706,30582.54
2022-03-24,142433.87,23.599,-643.5
2022-03-25,141329.74,23.416,-1104.13
2022-03-26,155723.04,25.801,14393.3
2022-03-27,155723.04,25.801,0
2022-03-28,155723.04,25.801,0
2022-03-29,155723.04,25.801,0
2022-03-30,157669.35,26.124,1946.31
2022-03-31,157669.35,26.124,0
2022-04-01,157669.35,26.124,0
2022-04-02,156359.18,25.907,-1310.17
2022-04-03,156359.18,25.907,0
2022-04-04,156359.18,25.907,0
2022-04-05,157307.42,26.064,948.24
2022-04-06,125994.57,20.876,-31312.85
2022-04-07,125994.57,20.876,0
2022-04-08,125994.57,20.876,0
2022-04-09,125994.57,20.876,0
2022-04-10,126614.15,20.978,619.58
2022-04-11,126614.15,20.978,0
2022-04-12,126614.15,20.978,0
2022-04-13,126336.91,20.932,-277.24
2022-04-14,126336.91,20.932,0
2022-04-15,126336.94,20.932,0.03
2022-04-16,126336.94,20.932,0
2022-04-17,125400.99,20.777,-935.95
2022-04-18,125400.99,20.777,0
2022-04-19,125400.99,20.777,0
2022-04-20,125598.62,20.81,197.63
2022-04-21,125598.62,20.81,0
2022-04-22,125600.32,20.81,1.7
2022-04-23,125600.32,20.81,0
2022-04-24,126109.96,20.895,509.64
2022-04-25,126109.96,20.895,0
2022-04-26,126421.35,20.946,311.39
2022-04-27,126421.35,20.946,0
2022-04-28,126421.35,20.946,0
2022-04-29,126421.35,20.946,0
2022-04-30,126100.85,20.893,-320.5
2022-05-01,126100.85,20.893,0
2022-05-02,125762.38,20.837,-338.47
2022-05-03,125762.38,20.837,0
2022-05-04,125774.39,20.839,12.01
2022-05-05,125774.39,20.839,0
2022-05-06,125774.39,20.839,0
2022-05-07,125643.58,20.817,-130.81
2022-05-08,125643.58,20.817,0
2022-05-09,125661.68,20.82,18.1
2022-05-10,125661.68,20.82,0
2022-05-11,125669.63,20.822,7.95
2022-05-12,125589.6,20.808,-80.03
2022-05-13,125589.6,20.808,0
2022-05-14,125589.6,20.808,0
2022-05-15,125784.07,20.841,194.47
2022-05-16,125784.07,20.841,0
2022-05-17,125784.07,20.841,0
2022-05-18,125808.21,20.845,24.14
2022-05-19,125808.21,20.845,0
2022-05-20,125808.21,20.845,0
2022-05-21,126020.27,20.88,212.06
2022-05-22,126020.27,20.88,0
2022-05-23,126020.27,20.88,0
2022-05-24,126020.27,20.88,0
2022-05-25,126020.27,20.88,0
2022-05-26,126020.27,20.88,0
2022-05-27,126020.27,20.88,0
2022-05-28,126548.63,20.967,528.36
2022-05-29,126548.63,20.967,0
2022-05-30,126548.63,20.967,0
2022-05-31,126548.63,20.967,0
2022-06-01,126548.63,20.967,0
2022-06-02,126639.76,20.982,91.13
2022-06-03,126639.76,20.982,0
2022-06-04,126639.76,20.982,0
2022-06-05,126639.76,20.982,0
2022-06-06,126503.31,20.96,-136.45
2022-06-07,126503.31,20.96,0
2022-06-08,126495.83,20.959,-7.48
2022-06-09,126495.83,20.959,0
2022-06-10,126495.83,20.959,0
2022-06-11,126495.83,20.959,0
2022-06-12,126645.65,20.983,149.82
2022-06-13,126645.65,20.983,0
2022-06-14,126645.65,20.983,0
2022-06-15,126645.65,20.983,0
2022-06-16,126595.99,20.975,-49.66
2022-06-17,126595.99,20.975,0
2022-06-18,126595.99,20.975,0
2022-06-19,126595.99,20.975,0
2022-06-20,126595.99,20.975,0
2022-06-21,126595.99,20.975,0
2022-06-22,126595.99,20.975,0
2022-06-23,126760.3,21.002,164.31
2022-06-24,126760.3,21.002,0
2022-06-25,126760.3,21.002,0
2022-06-26,126760.3,21.002,0
2022-06-27,126929.55,21.03,169.25
2022-06-28,126929.55,21.03,0
2022-06-29,126777.34,21.005,-152.21
2022-06-30,126777.34,21.005,0
2022-07-01,126777.34,21.005,0
2022-07-02,126825.67,21.013,48.33
2022-07-03,126825.67,21.013,0
2022-07-04,126825.67,21.013,0
